Country,Year,Population,Life_Expectancy,Infant_Mortality,Health_Expenditure_Percent,GDP_Per_Capita
Sri Lanka,2019,21413250,76.9,7.1,3.8,4080
Sri Lanka,2020,21414900,77.1,6.8,4.1,3850
Sri Lanka,2021,21497000,76.4,7.2,4.5,4010
Sri Lanka,2022,21592000,76.8,6.9,4.8,3350
Sri Lanka,2023,21789000,77.2,6.5,5.0,3620
India,2019,1366417754,70.4,28.0,3.5,2100
India,2020,1380004385,70.1,27.0,3.8,1900
India,2021,1393409038,67.2,32.0,4.2,2200
India,2022,1407563842,67.7,30.5,4.5,2400
India,2023,1428627663,67.9,28.8,4.7,2600
Japan,2019,126264931,84.4,1.9,10.7,40200
Japan,2020,125836021,84.6,1.8,11.0,40000
Japan,2021,125681593,84.7,1.7,11.2,40500
Japan,2022,124997578,84.8,1.6,11.5,42000
Japan,2023,124516650,84.9,1.5,11.7,43000
USA,2019,328329953,78.8,5.6,16.7,65600
USA,2020,331577720,77.0,5.4,18.2,63500
USA,2021,332099760,76.4,5.3,17.9,70200
USA,2022,333287557,77.5,5.2,17.7,76000
USA,2023,334914895,78.0,5.1,17.5,81000
Germany,2019,83092962,81.1,3.3,11.7,46700
Germany,2020,83160871,81.0,3.2,12.5,46700
Germany,2021,83196078,81.1,3.1,12.8,51000
Germany,2022,83797985,81.0,3.0,12.9,49000
Germany,2023,84482267,81.2,2.9,13.0,52000
